Equipment_Type,Temperature,Pressure,Vibration,Operating_Hours,Failure_Class
Heat Exchanger,86.0,20.64,0.0,43421,Healthy
Motor,38.81,0.0,1.4,46392,Healthy
Turbine,240.1,47.36,1.03,78912,Healthy
Valve,73.52,19.14,0.0,12070,Healthy
Storage Tank,30.34,1.91,0.0,83523,Healthy
Storage Tank,55.51,2.97,0.0,112408,Healthy
Generator,117.26,0.0,2.53,248488,Failure
Generator,75.78,0.0,1.6,27237,Healthy
Turbine,320.67,32.01,0.9,32358,Healthy
Valve,182.87,31.52,0.0,52653,Healthy
Compressor,122.96,36.99,1.41,15695,Healthy
Furnace,677.13,7.96,0.0,165750,Warning
Boiler,256.26,75.55,0.0,92258,Healthy
Boiler,269.85,55.31,0.0,51942,Healthy
Compressor,80.08,36.85,1.54,10710,Healthy
Instrumentation,71.36,11.46,0.0,20757,Healthy
Furnace,434.06,4.52,0.0,79499,Healthy
Heat Exchanger,163.46,19.99,0.0,77453,Healthy
Generator,77.04,0.0,1.6,74992,Healthy
Instrumentation,18.41,8.03,0.0,9288,Healthy
Distillation Column,251.4,2.92,0.0,41371,Healthy
Motor,48.18,0.0,1.91,15516,Healthy
Turbine,267.85,54.22,1.54,50834,Healthy
Storage Tank,89.38,5.49,0.0,347614,Failure
Storage Tank,47.13,3.62,0.0,182073,Warning
Generator,37.48,0.0,1.34,84980,Healthy
Generator,45.47,0.0,0.54,69615,Healthy
Cooling System,43.56,5.92,1.22,56653,Healthy
Motor,45.67,0.0,1.34,10966,Healthy
Instrumentation,52.47,4.01,0.0,15490,Healthy
Generator,65.27,0.0,1.6,53886,Healthy
Reactor,297.16,47.0,0.0,57431,Healthy
Furnace,708.01,6.31,0.0,79505,Healthy
Boiler,321.69,104.18,0.0,219292,Critical
Turbine,483.66,105.64,4.24,215463,Failure
Instrumentation,26.76,4.4,0.0,25472,Healthy
Pump,83.36,18.91,1.86,95120,Warning
Reactor,299.8,65.32,0.0,161402,Warning
Boiler,232.69,62.76,0.0,52734,Healthy
Cooling System,52.3,3.84,0.73,78780,Warning
Pump,120.86,25.29,4.69,179631,Failure
Boiler,338.85,103.02,0.0,193442,Critical
Storage Tank,27.23,2.28,0.0,29817,Healthy
Cooling System,17.32,7.66,0.53,80146,Warning
Pump,66.06,15.95,0.55,66641,Healthy
Motor,60.16,0.0,1.64,22745,Healthy
Compressor,69.6,33.81,1.43,40743,Healthy
Distillation Column,329.48,7.67,0.0,222375,Critical
Valve,95.18,16.09,0.0,85829,Healthy
Generator,65.57,0.0,1.31,65446,Healthy
Compressor,72.07,27.03,3.05,29978,Healthy
Storage Tank,23.08,1.41,0.0,52365,Healthy
Reactor,235.73,44.12,0.0,91654,Healthy
Boiler,155.81,81.72,0.0,26493,Healthy
Pump,67.01,7.62,1.94,50647,Healthy
Furnace,586.44,3.11,0.0,44826,Healthy
Turbine,403.33,41.98,2.53,115933,Warning
Valve,205.93,25.06,0.0,119701,Warning
Distillation Column,300.59,3.1,0.0,147623,Warning
Boiler,260.93,93.06,0.0,168250,Warning
Turbine,335.29,62.35,2.47,78878,Healthy
Instrumentation,78.1,17.98,0.0,7920,Healthy
Generator,40.98,0.0,0.78,11273,Healthy
Furnace,858.71,8.89,0.0,229528,Critical
Cooling System,20.02,5.9,1.08,25559,Healthy
Boiler,189.59,40.28,0.0,101263,Healthy
Reactor,258.88,25.16,0.0,99912,Healthy
Heat Exchanger,130.3,7.64,0.0,52347,Healthy
Valve,53.43,4.72,0.0,40843,Healthy
Turbine,321.78,73.97,2.71,31668,Healthy
Furnace,348.65,3.08,0.0,77053,Healthy
Cooling System,33.07,2.66,0.94,33705,Healthy
Storage Tank,32.65,1.9,0.0,36850,Healthy
Distillation Column,262.67,6.76,0.0,145852,Warning
Furnace,772.59,1.54,0.0,161812,Warning
Pipeline,175.66,59.45,0.0,248893,Critical
Motor,94.1,0.0,2.51,96690,Critical
Valve,128.49,17.69,0.0,23449,Healthy
Valve,173.21,10.02,0.0,17247,Healthy
Storage Tank,83.11,4.05,0.0,302867,Critical
Distillation Column,242.72,3.24,0.0,104425,Healthy
Instrumentation,67.04,17.57,0.0,7822,Healthy
Pipeline,165.56,56.32,0.0,200449,Critical
Furnace,343.41,3.9,0.0,27834,Healthy
Valve,42.95,28.4,0.0,18930,Healthy
Instrumentation,108.82,2.45,0.0,44267,Warning
Valve,140.3,24.33,0.0,16173,Healthy
Valve,153.44,19.1,0.0,51693,Healthy
Motor,51.51,0.0,0.57,15643,Healthy
Compressor,110.55,23.59,3.33,50536,Healthy
Distillation Column,152.7,5.36,0.0,30877,Healthy
Motor,45.12,0.0,1.25,27354,Healthy
Storage Tank,40.61,1.38,0.0,73051,Healthy
Distillation Column,146.85,4.2,0.0,51520,Healthy
Heat Exchanger,181.46,15.57,0.0,83957,Healthy
Valve,129.54,36.77,0.0,52638,Healthy
Instrumentation,120.83,42.87,0.0,120198,Failure
Storage Tank,47.39,0.92,0.0,19593,Healthy
Pump,54.1,20.29,3.83,131381,Critical
Storage Tank,35.24,3.86,0.0,214950,Warning
Valve,235.16,45.52,0.0,154605,Critical
Compressor,65.07,47.07,3.1,78353,Warning
Distillation Column,151.32,3.79,0.0,18018,Healthy
Instrumentation,119.92,42.27,0.0,114939,Failure
Pipeline,139.03,17.71,0.0,52917,Healthy
Heat Exchanger,80.48,24.48,0.0,121735,Warning
Cooling System,19.46,2.32,0.93,38764,Healthy
Cooling System,18.56,6.28,0.77,58052,Healthy
Pipeline,44.51,24.92,0.0,36541,Healthy
Generator,55.68,0.0,0.54,25255,Healthy
Generator,76.23,0.0,1.56,64507,Healthy
Storage Tank,53.12,1.11,0.0,46217,Healthy
Valve,216.87,3.51,0.0,91687,Warning
Turbine,268.06,86.53,1.84,96185,Warning
Boiler,293.91,81.32,0.0,112128,Warning
Pipeline,124.46,34.63,0.0,110097,Healthy
Heat Exchanger,263.31,31.48,0.0,234142,Failure
Storage Tank,32.49,0.7,0.0,103443,Healthy
Generator,105.92,0.0,2.12,156027,Critical
Instrumentation,12.22,15.58,0.0,30722,Healthy
Motor,39.14,0.0,0.94,18326,Healthy
Storage Tank,22.62,1.96,0.0,121421,Healthy
Distillation Column,224.49,6.78,0.0,107374,Warning
Boiler,200.81,76.65,0.0,66575,Healthy
Distillation Column,339.98,7.84,0.0,205129,Critical
Furnace,555.54,2.55,0.0,56792,Healthy
Heat Exchanger,207.49,19.67,0.0,138955,Warning
Instrumentation,105.85,14.49,0.0,50689,Warning
Boiler,240.96,77.7,0.0,70872,Healthy
Storage Tank,76.85,1.94,0.0,192592,Warning
Instrumentation,66.74,25.05,0.0,22696,Healthy
Reactor,235.79,41.75,0.0,78636,Healthy
Boiler,180.96,95.09,0.0,160817,Warning
Boiler,243.07,44.14,0.0,48292,Healthy
Compressor,108.47,26.88,3.21,30602,Healthy
Furnace,608.06,4.06,0.0,23826,Healthy
Instrumentation,55.94,14.49,0.0,12500,Healthy
Pipeline,119.85,19.49,0.0,87799,Healthy
Pump,49.16,8.3,2.75,39852,Healthy
Generator,69.71,0.0,1.32,38023,Healthy
Pipeline,71.08,29.89,0.0,80426,Healthy
Boiler,316.56,20.74,0.0,160133,Warning
Reactor,180.74,41.7,0.0,87189,Healthy
Cooling System,26.34,4.46,0.96,31349,Healthy
Pipeline,118.11,33.49,0.0,121427,Healthy
Motor,65.36,0.0,2.41,53947,Warning
Cooling System,35.29,4.22,1.8,90921,Warning
Motor,68.65,0.0,0.71,24361,Healthy
Storage Tank,54.44,0.86,0.0,115557,Healthy
Generator,68.88,0.0,1.05,63796,Healthy
Pump,46.45,16.34,3.39,96406,Warning
Turbine,179.0,57.18,1.09,25097,Healthy
Instrumentation,67.86,12.13,0.0,16216,Healthy
Cooling System,23.59,5.84,1.25,43578,Healthy
Motor,39.12,0.0,1.43,42696,Healthy
Heat Exchanger,140.82,9.63,0.0,13590,Healthy
Furnace,414.84,6.37,0.0,51215,Healthy
Boiler,334.98,116.14,0.0,222573,Critical
Generator,78.18,0.0,1.58,69456,Healthy
Generator,81.87,0.0,1.3,42366,Healthy
Valve,43.13,34.79,0.0,36787,Healthy
Furnace,895.53,10.55,0.0,286617,Failure
Furnace,367.09,5.44,0.0,68622,Healthy
Boiler,248.31,69.42,0.0,57761,Healthy
Heat Exchanger,136.84,12.26,0.0,55002,Healthy
Pipeline,130.44,15.25,0.0,115299,Healthy
Storage Tank,61.51,0.07,0.0,35517,Healthy
Valve,117.5,10.47,0.0,26278,Healthy
Motor,70.31,0.0,1.97,42203,Healthy
Heat Exchanger,230.68,29.75,0.0,144450,Critical
Compressor,77.28,33.5,3.32,58655,Healthy
Compressor,109.86,25.98,3.65,76238,Warning
Turbine,152.69,34.08,2.32,38463,Healthy
Furnace,586.0,1.16,0.0,42763,Healthy
Heat Exchanger,103.57,24.98,0.0,136382,Warning
Boiler,206.03,36.67,0.0,13329,Healthy
Storage Tank,61.98,1.02,0.0,68139,Healthy
Compressor,72.11,48.15,2.34,92794,Warning
Distillation Column,312.09,1.99,0.0,147743,Warning
Storage Tank,49.1,0.09,0.0,21486,Healthy
Valve,219.94,34.1,0.0,109005,Warning
Distillation Column,160.69,5.37,0.0,47000,Healthy
Compressor,119.59,45.88,2.25,94954,Warning
Pipeline,62.58,54.55,0.0,186924,Warning
Boiler,253.46,39.81,0.0,85294,Healthy
Motor,42.85,0.0,0.77,31300,Healthy
Boiler,254.96,20.16,0.0,21641,Healthy
Pump,70.51,6.93,3.4,71627,Warning
Valve,227.05,45.95,0.0,143037,Critical
Reactor,487.84,81.75,0.0,261465,Failure
Instrumentation,107.51,14.26,0.0,58862,Warning
Instrumentation,24.39,8.3,0.0,5849,Healthy
Instrumentation,113.02,37.43,0.0,81040,Critical
Boiler,189.29,96.9,0.0,170432,Warning
Motor,67.96,0.0,0.73,36850,Healthy
Heat Exchanger,104.48,14.71,0.0,18038,Healthy
Storage Tank,27.62,3.75,0.0,204966,Warning
Cooling System,54.22,6.58,1.12,76167,Warning
Generator,54.89,0.0,0.87,84734,Healthy
Distillation Column,311.98,5.68,0.0,135018,Warning
Valve,105.42,10.89,0.0,72522,Healthy
Cooling System,60.82,10.29,2.14,178237,Failure
Cooling System,63.53,10.29,2.06,173325,Failure
Distillation Column,232.86,5.11,0.0,51641,Healthy
Motor,55.25,0.0,1.52,30022,Healthy
Generator,102.65,0.0,2.06,165879,Critical
Pump,63.22,23.17,4.13,140836,Critical
Distillation Column,249.97,1.87,0.0,66136,Healthy
Furnace,350.54,6.36,0.0,25273,Healthy
Reactor,483.23,79.02,0.0,240987,Failure
Reactor,439.46,73.17,0.0,173951,Critical
Heat Exchanger,155.65,17.41,0.0,38050,Healthy
Generator,67.12,0.0,1.4,18866,Healthy
Storage Tank,50.56,2.28,0.0,69605,Healthy
Distillation Column,251.35,2.64,0.0,22619,Healthy
Pump,75.29,9.03,2.25,50245,Healthy
Reactor,351.2,40.33,0.0,97106,Healthy
Reactor,248.23,24.07,0.0,26548,Healthy
Pipeline,188.45,61.5,0.0,290373,Failure
Boiler,164.16,97.63,0.0,131554,Warning
Turbine,320.84,32.98,1.57,13202,Healthy
Pump,104.58,16.61,2.0,103320,Warning
Turbine,278.51,36.34,1.53,35677,Healthy
Distillation Column,228.78,5.03,0.0,76939,Healthy
Pump,112.84,20.97,2.81,143427,Critical
Valve,171.24,32.12,0.0,74952,Healthy
Turbine,421.42,97.19,1.54,152757,Critical
Pump,55.72,14.35,3.33,72135,Warning
Distillation Column,195.54,1.11,0.0,53430,Healthy
Generator,100.11,0.0,2.4,142906,Critical
Storage Tank,84.42,4.2,0.0,246379,Critical
Reactor,188.8,69.51,0.0,125804,Warning
Motor,40.4,0.0,1.61,6689,Healthy
Heat Exchanger,217.64,14.35,0.0,137594,Warning
Pipeline,167.12,59.07,0.0,242526,Critical
Cooling System,36.88,3.85,0.79,30946,Healthy
Turbine,304.44,74.63,0.74,22207,Healthy
Storage Tank,82.2,4.84,0.0,240487,Critical
Compressor,68.65,25.72,2.89,37758,Healthy
Reactor,324.61,50.69,0.0,74737,Healthy
Storage Tank,57.09,1.25,0.0,138439,Healthy
Cooling System,25.36,2.98,1.63,99032,Warning
Pump,82.57,10.76,3.47,82829,Warning
Compressor,72.55,30.35,1.29,51957,Healthy
Motor,67.58,0.0,0.88,17156,Healthy
Motor,83.42,0.0,2.05,81789,Warning
Reactor,420.32,72.33,0.0,209763,Critical
Boiler,245.89,68.81,0.0,52863,Healthy
Pipeline,156.92,24.43,0.0,180759,Warning
Motor,94.24,0.0,2.98,95718,Critical
Instrumentation,40.16,24.95,0.0,38044,Healthy
Boiler,169.14,49.06,0.0,89887,Healthy
Compressor,114.69,22.66,2.06,43015,Healthy
Turbine,424.61,29.74,3.6,154606,Critical
Cooling System,22.77,6.72,1.21,14255,Healthy
Instrumentation,87.9,0.95,0.0,23011,Healthy
Pipeline,175.92,56.72,0.0,210506,Critical
Distillation Column,183.26,1.42,0.0,63933,Healthy
Furnace,874.55,9.36,0.0,218136,Critical
Pipeline,111.71,16.78,0.0,103398,Healthy
Compressor,99.0,24.7,3.23,43127,Healthy
Compressor,131.66,40.1,2.41,37890,Healthy
Cooling System,36.01,4.4,1.02,10085,Healthy
Instrumentation,41.72,27.08,0.0,39425,Healthy
Valve,186.74,43.56,0.0,98908,Warning
Turbine,402.05,20.33,1.3,104312,Warning
Motor,91.67,0.0,3.0,100573,Critical
Pipeline,80.19,10.76,0.0,33358,Healthy
Distillation Column,129.11,3.53,0.0,78135,Healthy
Instrumentation,26.86,12.61,0.0,23481,Healthy
Turbine,154.24,55.77,2.82,82103,Healthy
Pump,46.76,9.92,1.17,10553,Healthy
Pump,59.85,18.56,2.5,102422,Warning
Motor,40.21,0.0,1.94,12747,Healthy
Reactor,419.97,53.02,0.0,144326,Warning
Pipeline,136.9,28.79,0.0,104718,Healthy
Pump,108.67,22.07,1.91,157618,Critical
Pipeline,104.65,16.98,0.0,23964,Healthy
Heat Exchanger,129.37,3.41,0.0,74306,Healthy
Generator,116.09,0.0,2.54,243646,Failure
Reactor,454.84,78.26,0.0,289750,Failure
Compressor,83.69,16.41,2.51,26736,Healthy
Cooling System,60.82,10.38,2.15,190573,Failure
Turbine,403.86,31.24,1.48,125326,Warning
Heat Exchanger,251.65,31.35,0.0,234656,Failure
Distillation Column,292.04,3.33,0.0,156462,Warning
Compressor,101.64,38.91,1.27,43591,Healthy
Boiler,243.66,48.23,0.0,63863,Healthy
Pipeline,122.41,54.25,0.0,184045,Warning
Heat Exchanger,235.31,25.3,0.0,155875,Critical
Heat Exchanger,87.95,16.53,0.0,76046,Healthy
Motor,77.62,0.0,0.81,84046,Warning
Reactor,300.64,67.15,0.0,169910,Warning
Instrumentation,3.3,19.27,0.0,9132,Healthy
Compressor,110.66,19.85,1.02,37949,Healthy
Cooling System,22.15,5.92,0.59,23908,Healthy
Instrumentation,46.2,6.2,0.0,39032,Healthy
Generator,95.55,0.0,0.97,103083,Warning
Instrumentation,125.9,40.78,0.0,112727,Failure
Cooling System,59.98,8.83,1.38,117937,Critical
Compressor,68.73,30.19,2.35,17366,Healthy
Motor,93.77,0.0,2.7,89373,Critical
Storage Tank,60.93,3.3,0.0,138198,Healthy
Furnace,502.93,7.52,0.0,106753,Warning
Heat Exchanger,238.24,29.23,0.0,160725,Critical
Storage Tank,65.45,1.7,0.0,44505,Healthy
Furnace,506.94,3.27,0.0,28722,Healthy
Compressor,80.88,34.57,3.29,59312,Healthy
Turbine,198.15,74.43,0.52,12086,Healthy
Instrumentation,29.21,15.35,0.0,29381,Healthy
Distillation Column,167.92,2.48,0.0,66484,Healthy
Distillation Column,200.53,5.59,0.0,63425,Healthy
Generator,46.54,0.0,0.71,44446,Healthy
Pipeline,180.13,64.76,0.0,305340,Failure
Cooling System,25.4,4.49,1.39,59518,Healthy
Turbine,347.45,27.82,0.55,14233,Healthy
Reactor,349.19,29.03,0.0,77798,Healthy
Pipeline,177.86,59.52,0.0,214692,Critical
Furnace,712.08,2.69,0.0,15111,Healthy
Pipeline,103.11,19.62,0.0,49303,Healthy
Compressor,103.39,42.29,3.86,84521,Warning
Pipeline,48.65,39.25,0.0,84012,Healthy
Cooling System,40.54,3.82,1.15,14385,Healthy
Pump,74.36,7.99,2.04,11361,Healthy
Pump,61.14,5.66,1.17,21837,Healthy
Compressor,125.23,34.42,2.05,44054,Healthy
Pipeline,99.41,7.69,0.0,94863,Healthy
Motor,51.8,0.0,0.64,10121,Healthy
Instrumentation,34.55,24.7,0.0,18598,Healthy
Instrumentation,52.59,14.72,0.0,13698,Healthy
Heat Exchanger,97.27,24.01,0.0,129224,Warning
Motor,63.8,0.0,0.9,28200,Healthy
Storage Tank,66.87,2.67,0.0,37111,Healthy
Furnace,679.65,7.61,0.0,118473,Warning
Valve,60.68,24.3,0.0,12922,Healthy
Motor,44.49,0.0,0.82,17617,Healthy
Storage Tank,85.94,4.23,0.0,302048,Critical
Pipeline,107.63,30.53,0.0,102850,Healthy
Storage Tank,25.22,2.7,0.0,100739,Healthy
Furnace,590.76,5.44,0.0,30462,Healthy
Valve,73.92,30.35,0.0,62263,Healthy
Heat Exchanger,198.41,10.04,0.0,98892,Warning
Furnace,457.86,5.48,0.0,73197,Healthy
Pump,82.4,12.66,2.11,19810,Healthy
Cooling System,42.08,5.01,0.73,65857,Healthy
Cooling System,39.68,4.46,1.09,66882,Healthy
Turbine,340.69,47.76,2.45,85722,Healthy
Pipeline,119.48,41.08,0.0,48302,Healthy
Pump,102.9,15.37,2.77,74951,Warning
Storage Tank,34.6,0.09,0.0,108086,Healthy
Instrumentation,41.65,25.92,0.0,13303,Healthy
Instrumentation,73.73,19.3,0.0,31032,Healthy
Reactor,239.52,28.71,0.0,76980,Healthy
Pipeline,134.72,25.53,0.0,46271,Healthy
Pump,52.88,15.53,0.71,66699,Healthy
Cooling System,36.4,7.6,0.66,74713,Warning
Motor,36.81,0.0,0.92,18727,Healthy
Reactor,353.79,65.33,0.0,156585,Warning
Generator,99.9,0.0,0.89,97878,Warning
Turbine,170.77,47.79,0.64,17909,Healthy
Instrumentation,9.11,5.33,0.0,11620,Healthy
Heat Exchanger,256.9,31.19,0.0,215362,Failure
Cooling System,37.33,2.13,1.25,27026,Healthy
Reactor,264.38,65.39,0.0,123208,Warning
Generator,77.48,0.0,0.65,76843,Healthy
Pump,76.82,7.49,2.38,50356,Healthy
Motor,56.43,0.0,0.97,32769,Healthy
Compressor,146.19,29.15,1.55,71075,Warning
Pipeline,78.21,8.3,0.0,104894,Healthy
Turbine,488.44,99.21,4.03,247377,Failure
Valve,120.34,18.96,0.0,83522,Healthy
Turbine,215.5,49.18,1.29,69525,Healthy
Cooling System,21.03,5.72,0.58,62157,Healthy
Furnace,722.05,1.19,0.0,26178,Healthy
Heat Exchanger,172.25,17.81,0.0,83713,Healthy
Instrumentation,120.04,43.74,0.0,115239,Failure
Distillation Column,313.06,2.82,0.0,159033,Warning
Pump,84.46,12.33,0.64,53550,Healthy
Pipeline,124.93,21.45,0.0,116702,Healthy
Storage Tank,45.26,2.51,0.0,119512,Healthy
Instrumentation,69.86,12.95,0.0,19656,Healthy
Valve,110.18,27.68,0.0,48806,Healthy
Heat Exchanger,88.48,11.06,0.0,79833,Healthy
Compressor,97.88,23.79,2.9,37826,Healthy
Reactor,439.13,77.36,0.0,219881,Critical
Reactor,315.73,68.85,0.0,156206,Warning
Cooling System,64.91,10.29,2.12,189998,Failure
Storage Tank,85.88,4.47,0.0,293919,Critical
Boiler,162.1,22.65,0.0,102604,Healthy
Cooling System,56.18,6.74,1.92,132552,Critical
Turbine,343.71,45.47,1.79,30270,Healthy
Motor,37.1,0.0,0.93,51795,Healthy
Pump,75.28,19.49,2.47,76465,Warning
Distillation Column,155.33,2.78,0.0,64486,Healthy
